sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
call	ORDER VISIT SUBJECTIVE_JUDGING DECREE_DECLARE ASK_REQUEST GUESS READ LURE_ENTICE STOP REQUIRE_NEED_WANT_HOPE SUMMON CHALLENGE_ENGAGE REPRIMAND MAKE_A_SOUND SPEAK COMMUNICATE_CONTACT LAND_GET_OFF NAME
announce	DECREE_DECLARE GUESS SPEAK
denote	SIGNAL_INDICATE MEAN SPEAK
spill-the-beans	SPEAK
let-the-cat-out-of-the-bag	SPEAK
tattle	SPEAK
blab	SPEAK
peach	SPEAK
sing	MAKE_A_SOUND SING SPEAK
babble-out	SPEAK
blab-out	SPEAK
gurgle	FLOW DRINK MAKE_A_SOUND SPEAK
snivel	CRY BREATH_BLOW SPEAK
whine	TRAVEL OPPOSE_REBEL_DISSENT MAKE_A_SOUND SPEAK
chorus	SING SPEAK
voice	PRONOUNCE SPEAK
aim	REQUIRE_NEED_WANT_HOPE DIRECT_AIM_MANEUVER SPEAK
sigh	BREATH_BLOW SPEAK
take-back	MOVE_SOMETHING CONTINUE GIVE_BACK SPEAK RESTORE_STATE_UNDO_UNWIND
unsay	SPEAK
withdraw	ABSTAIN_AVOID_REFRAIN LIBERATE_ALLOW_AFFORD REMOVE_TAKE_AWAY_KIDNAP ISOLATE STOP RESIGN_RETIRE RECALL MOVE_BACK SPEAK
argue	SHOW EXPLAIN SPEAK
contend	AFFIRM FACE_CHALLENGE FIGHT SPEAK COMPETE CRITICIZE
debate	TAKE_INTO_ACCOUNT_CONSIDER DISCUSS SPEAK
fence	FIGHT BUY SPEAK ENCLOSE_WRAP STRENGTHEN_MAKE_RESISTANT
platitudinize	SPEAK
spell	ALTERNATE SIGNAL_INDICATE SPEAK BEWITCH WRITE
spell-out	SHOW EXPLAIN SPEAK
run-on	CONTINUE SPEAK
quote	CITE WRITE SPEAK
powwow	SPEAK
volunteer	OFFER WORK_AS SPEAK
slur	PERFORM MESS OFFEND_DISESTEEM SPEAK
chime-in	SPEAK
cut-in	COMBINE_MIX_UNITE VIOLATE AUTHORIZE_ADMIT MOVE_BY_MEANS_OF SPEAK
put-in	INSERT ASK_REQUEST MOUNT_ASSEMBLE_PRODUCE STORE SPEAK
butt-in	SPEAK
chisel-in	SPEAK
barge-in	VIOLATE SPEAK
break-in	BOTHER SUBJUGATE BREAK_DETERIORATE VIOLATE SPEAK BEGIN
blare-out	SPEAK
blat-out	SPEAK
narrate	LOAD_PROVIDE_CHARGE_FURNISH SPEAK
recount	COUNT SPEAK
begin	BEGIN SPEAK
bark	COVER_SPREAD_SURMOUNT REMOVE_TAKE_AWAY_KIDNAP COLOR MAKE_A_SOUND SPEAK
vent	AIR SPEAK
ventilate	AIR SPEAK
give-vent	SPEAK
misstate	SPEAK
misspell	SPEAK
utter	CIRCULATE_SPREAD_DISTRIBUTE MAKE_A_SOUND SPEAK
verbalize	CONVERT SPEAK
verbalise	CONVERT SPEAK
nasale	SPEAK
bay	MAKE_A_SOUND SPEAK
yell	MAKE_A_SOUND SPEAK
scream	MAKE_A_SOUND SPEAK
abjure	SPEAK
recant	SPEAK
forswear	SPEAK
retract	MOVE_BACK OPEN PULL SPEAK
resile	MOVE_BACK RESIGN_RETIRE RESTORE_STATE_UNDO_UNWIND SPEAK
intercommunicate	JOIN_CONNECT SPEAK
editorialize	SPEAK
editorialise	SPEAK
memorialize	APPROVE_PRAISE SPEAK
memorialise	APPROVE_PRAISE SPEAK
volley	HIT SHOOT_LAUNCH_PROPEL SPEAK
proclaim	EXALT AFFIRM ASSIGN SPEAK
exclaim	SPEAK
promulgate	DECREE_DECLARE SPEAK
give-voice	SPEAK
formulate	AMELIORATE CREATE_MATERIALIZE MOUNT_ASSEMBLE_PRODUCE SPEAK
word	SPEAK
phrase	DIVIDE SPEAK
articulate	JOIN_CONNECT PRONOUNCE EXPLAIN SPEAK
piffle	BEHAVE SPEAK
palaver	DISCUSS PERSUADE SPEAK
prate	SPEAK
tittle-tattle	SPEAK
twaddle	SPEAK
